iter:1  perplexity: 469234.99998989614
iter:2  perplexity: 298071.4461674274
iter:3  perplexity: 255742.81474485577
iter:4  perplexity: 234252.2721542653
iter:5  perplexity: 225975.95589490118
iter:6  perplexity: 221538.9997513462
iter:7  perplexity: 219533.96458626876
iter:8  perplexity: 218300.9225170347
iter:9  perplexity: 217671.93902930547
iter:10  perplexity: 217238.0146111706
iter:11  perplexity: 216999.38361705342
iter:12  perplexity: 216815.2332639779
iter:13  perplexity: 216708.529682964
iter:14  perplexity: 216619.06775891053
iter:15  perplexity: 216564.52195094357
iter:16  perplexity: 216516.22820831308
iter:17  perplexity: 216485.35133413103
iter:18  perplexity: 216457.05757289217
iter:19  perplexity: 216438.18995338143
iter:20  perplexity: 216420.59668834717
iter:21  perplexity: 216408.42576102872
iter:22  perplexity: 216397.00536203684
iter:23  perplexity: 216388.8619647097
iter:24  perplexity: 216381.2200742475
iter:25  perplexity: 216375.6372932061
iter:26  perplexity: 216370.414745686
iter:27  perplexity: 216366.52564843307
iter:28  perplexity: 216362.9034779219
iter:29  perplexity: 216360.16531895625
iter:30  perplexity: 216357.62693228698
iter:31  perplexity: 216355.68531096115
iter:32  perplexity: 216353.89328632492
iter:33  perplexity: 216352.50981460518
iter:34  perplexity: 216351.23795853465
iter:35  perplexity: 216350.24884883786
iter:36  perplexity: 216349.34268336443
iter:37  perplexity: 216348.63383529728
